,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
22221,5251273,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 69, 'y': 23}",Milan,Atalanta,Theo Hernández,0,31.0,23.0,27.0,37.371006141124965,0.17058344661893537,6.374875031170497,1396.5920999999998,52192.05194574661,20.871006141124965,435.598897342876,9091.387261510428
24409,5251274,free_kick,"['free_kick_shot', 'shot']","{'x': 69, 'y': 51}",Genoa,Napoli,Hernani,0,31.0,51.0,1.0,32.55710214377194,0.22384848558302037,7.287858009855055,1059.9648999999997,34509.385518113,16.057102143771942,257.8305292555255,4140.011144038753
26392,5251275,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 76, 'y': 60}",Roma,Venezia,L. Pellegrini,0,24.0,60.0,10.0,26.10134096172072,0.26947360916073615,7.033622552889843,681.2799999999999,17782.321570401087,9.60134096172072,92.18574826321615,885.1068008864919
26593,5251275,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 77, 'y': 39}",Roma,Venezia,J. Veretout,0,23.0,39.0,11.0,25.281868997366473,0.275319395618542,6.960588892462092,639.1729,16159.485524466822,8.781868997366473,77.12122308690643,677.268478065887
26739,5251275,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 81, 'y': 75}",Roma,Venezia,Carles Pérez,0,19.0,75.0,25.0,26.210732534593536,0.21349035590582777,5.595738617362833,687.0025,18006.8387780971,9.710732534593536,94.29832635841339,915.7058257263642
27055,5251275,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 77, 'y': 32}",Roma,Venezia,L. Pellegrini,0,23.0,32.0,18.0,27.074713294880887,0.24087687279054856,6.521672270171598,733.0400999999998,19846.850541150812,10.574713294880887,111.82456126893058,1182.5126747447825
31351,5251270,free_kick,"['free_kick_shot', 'shot']","{'x': 86, 'y': 85}",Salernitana,Empoli,S. Verdi,0,14.0,85.0,35.0,27.973737683763318,0.1390005371222224,3.888364563359255,782.5299999999999,21890.288949675305,11.473737683763318,131.64665643581043,1510.4792028890008
33096,5251258,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 74, 'y': 58}",Roma,Fiorentina,L. Pellegrini,0,26.0,58.0,8.0,27.836731129929753,0.25664124972980973,7.14405346557787,774.8836000000001,21570.22643019204,11.336731129929753,128.5214727123183,1457.0133805621565
33880,5251258,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 74, 'y': 45}",Fiorentina,Roma,C. Biraghi,0,26.0,45.0,5.0,27.5109069279804,0.2625873345348687,7.224015720855227,756.85,20821.629908441966,11.0109069279804,121.24007137664678,1334.9631418699582
40050,5251265,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 87, 'y': 93}",Atalanta,Spezia,R. Malinovskiy,0,13.0,93.0,43.0,32.26918189232568,0.09690109019592369,3.1269189050969186,1041.3000999999997,33601.902331396916,15.769181892325683,248.6670975532522,3921.276691953929
40175,5251265,free_kick,"['free_kick_shot', 'shot']","{'x': 77, 'y': 69}",Spezia,Atalanta,D. Verde,0,23.0,69.0,19.0,27.388846269969093,0.23549006144821957,6.449801091110861,750.1488999999999,20545.712901686416,10.888846269969093,118.56697309101983,1291.0575426836772
43484,5251264,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 72, 'y': 70}",Sassuolo,Udinese,D. Berardi,0,28.0,70.0,20.0,32.39320916488516,0.20483135683558149,6.63514498550222,1049.3199999999997,33990.842240897284,15.893209164885157,252.59409755878954,4014.530826317249
44806,5251266,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 81, 'y': 34}",Napoli,Torino,D. Mertens,0,19.0,34.0,16.0,22.72392791750581,0.28256810108251484,6.421057160785563,516.3769,11734.111453865107,6.2239279175058115,38.737278722308226,241.09803048797804
45291,5251266,free_kick,"['free_kick_shot', 'shot']","{'x': 73, 'y': 57}",Torino,Napoli,R. Mandragora,0,27.0,57.0,7.0,28.74682765106439,0.24992260254191626,7.1844819813779335,826.3801000000002,23755.80630896936,12.24682765106439,149.9847875148753,1836.837842976192
45799,5251266,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 73, 'y': 69}",Torino,Napoli,A. Belotti,0,27.0,69.0,19.0,31.155238724811596,0.2134855014775985,6.651191762820701,970.6489000000001,30240.798197475782,14.655238724811596,214.77602208121743,3147.5938759656483
