,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
64773,5251249,free_kick,"['free_kick_cross', 'shot_assist']","{'x': 87, 'y': 92}",Cagliari,Hellas Verona,R. Marin,0,13.0,92.0,42.0,31.654321979786584,0.10072809347040877,3.188479503122358,1001.9961000000001,31717.507171890436,15.154321979786584,229.65347466704276,3480.2426988811276
65211,5251249,free_kick,['free_kick_cross'],"{'x': 72, 'y': 93}",Hellas Verona,Cagliari,G. Caprari,0,28.0,93.0,43.0,41.464895996493226,0.12548911296222992,5.203393017671053,1719.3376,71292.15476686027,24.964895996493226,623.2460321157236,15559.272371996114
66332,5251253,free_kick,['free_kick_cross'],"{'x': 80, 'y': 17}",Sassuolo,Napoli,G. Raspadori,0,20.0,17.0,33.0,30.73359074367979,0.16360913654282747,5.0282962444340855,944.5536000000002,29029.523777869428,14.233590743679791,202.59510545856702,2883.6558177698907
66442,5251253,free_kick,['free_kick_cross'],"{'x': 64, 'y': 72}",Napoli,Sassuolo,L. Insigne,0,36.0,72.0,22.0,40.65269486762224,0.1672184572910006,6.797880920485569,1652.6415999999995,67184.33469033898,24.152694867622237,583.3526693684656,14089.53902346947
67279,5251253,free_kick,['free_kick_cross'],"{'x': 92, 'y': 4}",Sassuolo,Napoli,Rogério,0,8.0,4.0,46.0,32.388244781093036,0.05930449221793256,1.9207684105728269,1048.9984000000002,33975.21695417495,15.888244781093036,252.4363222239301,4010.770079132677
69108,5251099,free_kick,['free_kick_cross'],"{'x': 65, 'y': 50}",Bologna,Internazionale,M. Barrow,0,35.0,50.0,0.0,36.75,0.1985290282723682,7.2959417890095315,1350.5625,49633.171875,20.25,410.0625,8303.765625
70584,5251099,free_kick,['free_kick_cross'],"{'x': 71, 'y': 20}",Internazionale,Bologna,A. Sánchez,0,29.0,20.0,30.0,36.65190990930759,0.16605046611140525,6.086066724313759,1343.3625,49236.80132554222,20.15190990930759,406.0994729928495,8183.679993969194
70747,5251099,free_kick,['free_kick_cross'],"{'x': 94, 'y': 91}",Internazionale,Bologna,A. Sánchez,0,6.0,91.0,41.0,28.582938967153115,0.05732468484045254,1.6385079681059425,816.9844,23351.815242316206,12.082938967153115,145.9974140839472,1764.0778437385145
71297,5251100,free_kick,"['free_kick_cross', 'shot_assist']","{'x': 97, 'y': 18}",Fiorentina,Udinese,C. Biraghi,0,3.0,18.0,32.0,21.986816504441933,0.04901772057651374,1.0777436277818153,483.42010000000016,10628.869033258974,5.486816504441933,30.10515535341639,165.18146326191345
71460,5251100,free_kick,['free_kick_cross'],"{'x': 92, 'y': 15}",Fiorentina,Udinese,C. Biraghi,0,8.0,15.0,35.0,25.238858928247925,0.09828328526816316,2.4805579718879174,637.0,16077.153137293928,8.738858928247925,76.36765536781847,667.3661669404211
